OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV129	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Eudarluca	Eudarluca_caricis
ASV13	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Sphaerulina	Sphaerulina_pseudovirgaureae
ASV130	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae		
ASV131	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
ASV132	Fungi	Ascomycota	Sordariomycetes	Sordariomycetidae_Incertae_sedis	Plectosphaerellaceae	Plectosphaerella	
ASV133	Fungi	Ascomycota	Fungi_unidentified_1	Fungi_unidentified_1	Fungi_unidentified_1_1	Fungi_unidentified_1_1	Fungi_unidentified_1_1
ASV134	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolales_Incertae_sedis	Sporobolomyces	Sporobolomyces_sp
ASV135	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
ASV136	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_Incertae_sedis	Phoma	Phoma_brasiliensis
ASV139	Fungi	Ascomycota	Fungi_unidentified_1	Fungi_unidentified_1	Fungi_unidentified_1_1	Fungi_unidentified_1_1	Fungi_unidentified_1_1
ASV14	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_Incertae_sedis	Phoma	
ASV140	Fungi	Ascomycota					
ASV141	Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothioraceae	Kabatiella	
ASV142	Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothioraceae	Kabatiella	Aureobasidium_pullulans
ASV143	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellales_Incertae_sedis	Dioszegia	
ASV144	Fungi	Ascomycota					
ASV145	Fungi	Basidiomycota					
ASV146	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellales_Incertae_sedis	Hannaella	Hannaella_coprosmaensis
ASV147	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellales_Incertae_sedis	Cryptococcus	Cryptococcus_sp
ASV148	Fungi						
ASV15	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Uwebraunia	Uwebraunia_commune
ASV150	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	Cryptococcus_macerans
ASV151	Fungi	Ascomycota	Sordariomycetes	Trichosphaeriales	Trichosphaeriales_Incertae_sedis	Khuskia	Khuskia
ASV154	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellales_Incertae_sedis	Bullera	Bullera_penniseticola
ASV155	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Ophiosphaerella	Ophiosphaerella_agrostis
ASV156	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellales_Incertae_sedis	Hannaella	Hannaella_zeae
ASV157	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Exserohilum	Exserohilum_rostratum
ASV158	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae		
ASV159	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_equiseti
ASV16	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella	Mycosphaerella_lateralis
ASV161	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellales_Incertae_sedis		
ASV163	Fungi	Basidiomycota					
ASV166	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolales_Incertae_sedis	Sporobolomyces	Sporobolomyces_coprosmae
ASV167	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria_longissima
ASV168	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeria	Phaeosphaeria_sp
ASV17	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Davidiella	Davidiella_macrospora
ASV170	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	Cryptococcus_macerans
ASV171	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella	Mycosphaerella_nyssicola
ASV172	Fungi	Ascomycota					
ASV173	Fungi	Ascomycota	Dothideomycetes				
ASV174	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium	Filobasidium_floriforme
ASV175	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae		
ASV176	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	Cryptococcus_chernovii
ASV177	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellales_Incertae_sedis	Hannaella	Hannaella_coprosmaensis
ASV178	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeria	Phaeosphaeria_sp
ASV179	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Epicoccum	Epicoccum_sorghi
ASV180	Fungi						
ASV181	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Paraphoma	Paraphoma_chrysanthemicola
ASV182	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Ophiosphaerella	Ophiosphaerella_agrostis
ASV183	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Coniothyrium	Coniothyrium_sidae
ASV184	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeria	Phaeosphaeria_oryzae
ASV185	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Udeniomyces	Udeniomyces_pannonicus
ASV186	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_equiseti
ASV187	Fungi	Ascomycota	Sordariomycetes	Trichosphaeriales	Trichosphaeriales_Incertae_sedis	Nigrospora	Nigrospora_sphaerica
ASV188	Fungi	Basidiomycota					
ASV19	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Eudarluca	Eudarluca_caricis
ASV193	Fungi	Ascomycota	Sordariomycetes	Sordariomycetidae_Incertae_sedis	Glomerellaceae	Glomerella	
ASV195	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Sporobolomyces	Sporobolomyces_koalae
ASV196	Fungi	Ascomycota	Pezizomycotina_Incertae_sedis	Pezizomycotina_Incertae_sedis	Pezizomycotina_Incertae_sedis	Torula	Torula_caligans
ASV197	Fungi	Ascomycota					
ASV198	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Leptosphaerulina	Leptosphaerulina_chartarum
ASV199	Fungi	Ascomycota	Dothideomycetes	Capnodiales			
ASV20	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae		
ASV201	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellales_Incertae_sedis	Dioszegia	
ASV202	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	Cryptococcus_sp
ASV203	Fungi	Basidiomycota					
ASV205	Fungi	Basidiomycota					
ASV206	Fungi	Ascomycota	Ascomycota_unidentified	Ascomycota_unidentified_1	Ascomycota_unidentified_1	Ascomycota_unidentified_1_1	Ascomycota_unidentified_1_1
ASV209	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	Cryptococcus_victoriae
ASV21	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_Incertae_sedis	Phoma	Phoma_paspali
ASV210	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae		
ASV211	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeria	Phaeosphaeria_sp
ASV213	Fungi	Basidiomycota	Exobasidiomycetes	Exobasidiomycetidae_Incertae_sedis	Exobasidiomycetidae_Incertae_sedis	Tilletiopsis	Tilletiopsis_pallescens
ASV214	Fungi	Basidiomycota					
ASV216	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Cochliobolus	Cochliobolus_geniculatus
ASV219	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Edenia	Edenia_gomezpompae
ASV22	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Sporobolomyces	Sporobolomyces_ruberrimus
ASV220	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	Cryptococcus_sp
ASV221	Fungi	Basidiomycota					
ASV222	Fungi	Ascomycota	Dothideomycetes	Capnodiales			
ASV223	Fungi	Ascomycota	Sordariomycetes	Trichosphaeriales	Trichosphaeriales_Incertae_sedis	Khuskia	Khuskia
ASV226	Fungi						
ASV227	Fungi	Ascomycota					
ASV231	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Teratosphaeriaceae	Devriesia	Devriesia_pseudoamericana
ASV232	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	
ASV233	Fungi	Ascomycota	Dothideomycetes	Capnodiales			
ASV236	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_Incertae_sedis	Periconia	Periconia_sp
ASV238	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolales_Incertae_sedis	Sporobolomyces	Sporobolomyces_ruber
ASV239	Fungi	Basidiomycota	Exobasidiomycetes	Exobasidiomycetidae_Incertae_sedis	Exobasidiomycetidae_Incertae_sedis	Tilletiopsis	Tilletiopsis_pallescens
ASV24	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Ascomycota_unidentified_1_1	
ASV240	Fungi	Ascomycota					
ASV241	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	Cryptococcus_sp
ASV242	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolales_Incertae_sedis	Sporobolomyces	Sporobolomyces_ruber
ASV246	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	
ASV247	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Cochliobolus	Cochliobolus_sativus
ASV248	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellales_Incertae_sedis	Hannaella	Hannaella_zeae
ASV249	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	Cryptococcus_sp
ASV25	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Udeniomyces	Udeniomyces_megalosporus
ASV250	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Ophiosphaerella	Ophiosphaerella_agrostis
ASV252	Fungi	Ascomycota					
ASV254	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Lophiostoma	Lophiostoma_fuckelii
ASV256	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Udeniomyces	Udeniomyces_megalosporus
ASV257	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolales_Incertae_sedis	Sporobolomyces	
ASV258	Fungi	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Ustilago	
ASV259	Fungi	Ascomycota	Fungi_unidentified_1	Fungi_unidentified_1	Fungi_unidentified_1_1	Fungi_unidentified_1_1	Fungi_unidentified_1_1
ASV26	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeria	Phaeosphaeria_sp
ASV260	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Dothideomycetes_unidentified_1	Dothideomycetes_unidentified_1	Dothideomycetes_unidentified_1
ASV262	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Cochliobolus	Bipolaris_oryzae
ASV264	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Montagnulaceae	Paraphaeosphaeria	Paraphaeosphaeria_michotii
ASV265	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_Incertae_sedis	Phoma	Phoma_radicina
ASV266	Fungi	Ascomycota	Dothideomycetes	Capnodiales			
ASV267	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Teratosphaeriaceae		
ASV268	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Cochliobolus	Cochliobolus_cynodontis
ASV269	Fungi	Ascomycota					
ASV27	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Sporidiobolus	Sporidiobolus_pararoseus
ASV270	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_Incertae_sedis	Sarocladium	Sarocladium_kiliense
ASV271	Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothioraceae	Kabatiella	Aureobasidium_sp
ASV272	Fungi	Ascomycota	Pezizomycotina_Incertae_sedis	Pezizomycotina_Incertae_sedis	Pezizomycotina_Incertae_sedis	Torula	Torula_caligans
ASV273	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Cercospora	Cercospora_zeae_maydis
ASV274	Fungi	Basidiomycota	Cystobasidiomycetes	Erythrobasidiales	Erythrobasidiales_Incertae_sedis	Erythrobasidium	Erythrobasidium_hasegawianum
ASV275	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_avenaceum
ASV277	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	Cryptococcus_wieringae
ASV279	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellales_Incertae_sedis	Dioszegia	Dioszegia_takashimae
ASV28	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Schizothyriaceae	Zygophiala	Zygophiala_sp
ASV280	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Fungi_unidentified_1_1	Fungi_unidentified_1_1	Fungi_unidentified_1_1
ASV281	Fungi	Ascomycota					
ASV283	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Curvularia	Curvularia_trifolii
ASV284	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Chaetothyriales_Incertae_sedis	Strelitziana	Strelitziana_mali
ASV286	Fungi	Basidiomycota	Exobasidiomycetes	Exobasidiomycetidae_Incertae_sedis	Exobasidiomycetidae_Incertae_sedis	Tilletiopsis	Tilletiopsis_pallescens
ASV288	Fungi	Ascomycota					
ASV289	Fungi	Ascomycota	Taphrinomycetes	Taphrinales	Taphrinaceae	Taphrina	Taphrina_americana
ASV29	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellales_Incertae_sedis	Bulleromyces	Bulleromyces_albus
ASV290	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Teratosphaeriaceae	Devriesia	Devriesia_pseudoamericana
ASV291	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria_longissima
ASV292	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Sporobolomyces	Sporobolomyces_ruberrimus
ASV294	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae		
ASV295	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
ASV296	Fungi	Ascomycota	Dothideomycetes				
ASV297	Fungi	Ascomycota	Sordariomycetes	Trichosphaeriales	Trichosphaeriales_Incertae_sedis	Sordariomycetes_unidentified_1	Sordariomycetes_unidentified_1
ASV298	Fungi	Ascomycota					
ASV3	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Davidiella	Davidiella_tassiana
ASV30	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeria	Phaeosphaeria_oryzae
ASV300	Fungi	Basidiomycota					
ASV302	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Ascomycota_unidentified_1	Ascomycota_unidentified_1_1	Ascomycota_unidentified_1_1
ASV304	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Cochliobolus	Bipolaris_zeicola
ASV306	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolales_Incertae_sedis	Sporobolomyces	Sporobolomyces_vermiculatus
ASV307	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Capnodiales_Incertae_sedis	Toxicocladosporium	Toxicocladosporium_pseudoveloxum
ASV308	Fungi						
ASV309	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Ascomycota_unidentified_1_1	Ascomycota_unidentified_1_1
ASV31	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella	Mycosphaerella_lateralis
ASV310	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellales_Incertae_sedis		
ASV311	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	Cryptococcus_sp
ASV312	Fungi	Basidiomycota					
ASV313	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	Cryptococcus_rajasthanensis
ASV314	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Pseudocercospora	Pseudocercospora_dovyalidis
ASV315	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	Cryptococcus_sp
ASV316	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeria	Phaeosphaeria_nodorum
ASV318	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolales_Incertae_sedis	Rhodotorula	Rhodotorula_nothofagi
ASV319	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	Cryptococcus_flavus
ASV32	Fungi	Ascomycota					
ASV322	Fungi	Basidiomycota	Exobasidiomycetes	Exobasidiomycetidae_Incertae_sedis	Exobasidiomycetidae_Incertae_sedis	Tilletiopsis	Tilletiopsis_pallescens
ASV323	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_Incertae_sedis	Acremonium	Acremonium_fusidioides
ASV325	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales			
ASV326	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	Cryptococcus_victoriae
ASV327	Fungi						
ASV329	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Chaetothyriaceae	Cyphellophora	
ASV33	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeria	Phaeosphaeria_sp
ASV333	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Sphaerulina	Sphaerulina_pseudovirgaureae
ASV334	Fungi	Ascomycota					
ASV336	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_Incertae_sedis	Myrothecium	Myrothecium_roridum
ASV338	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_unidentified	Pleosporales_unidentified_1	Pleosporales_unidentified_1
ASV339	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Chaetothyriaceae	Cyphellophora	Cyphellophora_suttonii
ASV34	Fungi	Basidiomycota	Exobasidiomycetes	Entylomatales	Entylomataceae	Entyloma	Entyloma
ASV340	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeria	Phaeosphaeria_oryzae
ASV341	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Chaetothyriaceae	Cyphellophora	
ASV342	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella	
ASV343	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Dissoconium	Dissoconium_proteae
ASV344	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Leptosphaerulina	Leptosphaerulina_chartarum
ASV346	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella	Mycosphaerella_sp
ASV347	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Montagnulaceae	Paraphaeosphaeria	Paraphaeosphaeria_michotii
ASV348	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellales_Incertae_sedis	Hannaella	Hannaella_kunmingensis
ASV349	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Fungi_unidentified_1_1	Fungi_unidentified_1_1	Fungi_unidentified_1_1
ASV35	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellales_Incertae_sedis	Hannaella	Hannaella_oryzae
ASV350	Fungi	Ascomycota	Taphrinomycetes	Taphrinales	Taphrinaceae	Lalaria	Lalaria_inositophila
ASV351	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolales_Incertae_sedis	Sporobolomyces	Sporobolomyces_ruber
ASV352	Fungi	Ascomycota	Sordariomycetes	Sordariomycetidae_Incertae_sedis	Plectosphaerellaceae	Lectera	Lectera_colletotrichoides
ASV353	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae		
ASV354	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	Cryptococcus_macerans
