,asv,direction,domain,conf.d,phylum,conf.p,class,conf.c,order,conf.o,family,conf.f,genus,conf.g,species,conf.s,num
ASV223,ASV223,+,Fungi,100,Ascomycota,100,Sordariomycetes,100,Trichosphaeriales,100,Incertae_sedis_26,100,Incertae_sedis_26_unidentified,100,Trichosphaeriales_sp|SH237073.06FU,96,223
ASV226,ASV226,+,Fungi,100,,39,,18,,15,,15,,5,,5,226
ASV227,ASV227,+,Fungi,100,Ascomycota,78,,23,,3,,3,,3,,3,227
ASV231,ASV231,+,Fungi,100,Ascomycota,100,Dothideomycetes,100,Capnodiales,100,Teratosphaeriaceae,96,Devriesia,96,Devriesia_sp|SH195036.06FU,94,231
ASV232,ASV232,+,Fungi,100,,65,,65,,65,,65,,28,,28,232
ASV233,ASV233,+,Fungi,100,Ascomycota,98,Dothideomycetes,97,Capnodiales,94,,25,,23,,23,233
ASV236,ASV236,+,Fungi,100,Ascomycota,100,Dothideomycetes,100,Pleosporales,100,Incertae_sedis_13,100,Periconia,100,Periconia_sp|SH232015.06FU,100,236
ASV238,ASV238,+,Fungi,100,Basidiomycota,100,Microbotryomycetes,100,Sporidiobolales,100,Incertae_sedis_25,100,Sporobolomyces,100,Sporobolomyces_ruber|SH219452.06FU,70,238
ASV239,ASV239,+,Fungi,100,Basidiomycota,100,Exobasidiomycetes,100,Exobasidiomycetes_unidentified,83,Exobasidiomycetes_unidentified_1,83,Exobasidiomycetes_unidentified_1,83,Exobasidiomycetes_sp|SH199847.06FU,83,239
ASV240,ASV240,+,Fungi,100,,65,,12,,9,,7,,7,,5,240
ASV241,ASV241,+,Fungi,100,Basidiomycota,100,Tremellomycetes,100,Tremellales,100,Incertae_sedis_12,100,Incertae_sedis_12_unidentified,100,Tremellales_sp|SH197178.06FU,100,241
ASV242,ASV242,+,Fungi,100,Basidiomycota,95,Microbotryomycetes,77,Sporidiobolales,77,Incertae_sedis_25,77,Sporobolomyces,77,Sporobolomyces_ruber|SH219452.06FU,73,242
ASV246,ASV246,+,Fungi,100,Basidiomycota,100,,64,,64,,64,,64,,64,246
ASV247,ASV247,+,Fungi,100,Ascomycota,100,Dothideomycetes,100,Pleosporales,100,Pleosporaceae,100,,44,,44,247
ASV248,ASV248,+,Fungi,100,Basidiomycota,100,Tremellomycetes,99,Tremellales,99,Incertae_sedis_12,99,Hannaella,99,Hannaella_zeae|SH197183.06FU,99,248
