,asv,direction,domain,conf.d,phylum,conf.p,class,conf.c,order,conf.o,family,conf.f,genus,conf.g,species,conf.s,num
ASV720,ASV720,+,Fungi,100,Ascomycota,99,Eurotiomycetes,94,Chaetothyriales,91,,67,,67,,37,720
ASV721,ASV721,+,Fungi,100,Basidiomycota,99,Tremellomycetes,94,Tremellales,94,Tremellales_Incertae sedis,94,Bullera,93,Bullera variabilis,93,721
ASV722,ASV722,+,Fungi,100,Ascomycota,75,,58,,40,,23,,23,,23,722
ASV724,ASV724,+,Fungi,100,Basidiomycota,100,Agaricomycetes,100,Auriculariales,100,Auriculariales_Incertae sedis,100,Exidia,100,Exidia glandulosa,100,724
ASV727,ASV727,+,Fungi,100,Basidiomycota,84,,62,,61,,61,,54,,38,727
ASV728,ASV728,+,Fungi,100,Ascomycota,100,Dothideomycetes,100,Capnodiales,100,Schizothyriaceae,100,Zygophiala,100,Schizothyrium pomi,100,728
ASV729,ASV729,+,Fungi,100,Ascomycota,77,,15,,15,,15,,15,,14,729
ASV731,ASV731,+,Fungi,100,Ascomycota,100,Dothideomycetes,97,Capnodiales,97,,53,,50,,26,731
ASV733,ASV733,+,Fungi,100,Ascomycota,100,Dothideomycetes,100,Pleosporales,100,Montagnulaceae,100,Paraphaeosphaeria,100,Paraphaeosphaeria michotii,100,733
ASV749,ASV749,+,Fungi,100,Ascomycota,95,Dothideomycetes,82,Pleosporales,81,Lophiostomataceae,72,Tetraploa,72,Tetraploa aristata,72,749
ASV752,ASV752,+,Fungi,100,Ascomycota,88,Dothideomycetes,71,,60,,16,,13,,13,752
ASV758,ASV758,+,Fungi,100,,40,,25,,16,,10,,9,,8,758
ASV759,ASV759,+,Fungi,100,Basidiomycota,100,Agaricomycetes,100,Russulales,100,Stereaceae,100,Stereum,100,Stereum hirsutum,96,759
ASV761,ASV761,+,Fungi,100,Ascomycota,100,Dothideomycetes,100,Pleosporales,100,Leptosphaeriaceae,100,Paraphoma,100,Paraphoma chrysanthemicola,100,761
ASV762,ASV762,+,Fungi,100,Ascomycota,100,Dothideomycetes,100,Pleosporales,100,Didymellaceae,100,Leptosphaerulina,100,Leptosphaerulina chartarum,100,762
ASV770,ASV770,+,Fungi,100,Ascomycota,88,Dothideomycetes,78,Pleosporales,71,,47,,34,,20,770
ASV774,ASV774,+,Fungi,100,Ascomycota,100,Dothideomycetes,100,Pleosporales,100,Pleosporaceae,100,Curvularia,82,,45,774
ASV779,ASV779,+,Fungi,100,Basidiomycota,81,,66,,53,,50,,50,,31,779
ASV780,ASV780,+,Fungi,100,Ascomycota,100,Dothideomycetes,100,Pleosporales,100,Leptosphaeriaceae,99,Paraphoma,99,Paraphoma chrysanthemicola,99,780
ASV781,ASV781,+,Fungi,100,Basidiomycota,100,Microbotryomycetes,100,Sporidiobolales,100,Sporidiobolales_Incertae sedis,100,Rhodosporidium,99,Rhodosporidium azoricum,97,781
ASV784,ASV784,+,Fungi,100,Basidiomycota,100,Agaricomycetes,100,Polyporales,100,Polyporaceae,100,Trichaptum,100,Trichaptum biforme,100,784
ASV786,ASV786,+,Fungi,100,Basidiomycota,98,Agaricomycetes,96,,67,,67,,67,,67,786
ASV788,ASV788,+,Fungi,100,Ascomycota,100,Dothideomycetes,97,Capnodiales,96,,55,,52,,35,788
ASV793,ASV793,+,Fungi,100,Ascomycota,100,Dothideomycetes,100,Capnodiales,100,Mycosphaerellaceae,100,Mycosphaerella,97,,21,793
ASV794,ASV794,+,Fungi,100,Ascomycota,100,Dothideomycetes,100,Pleosporales,100,Montagnulaceae,90,Paraconiothyrium,90,,49,794
ASV801,ASV801,+,Fungi,100,Ascomycota,100,Eurotiomycetes,100,Chaetothyriales,100,Chaetothyriales_Incertae sedis,100,Strelitziana,100,Strelitziana africana,100,801
ASV804,ASV804,+,Fungi,100,Ascomycota,100,Dothideomycetes,100,Pleosporales,100,Pleosporaceae,100,Cochliobolus,99,Cochliobolus pallescens,98,804
ASV806,ASV806,+,Fungi,100,Ascomycota,100,Sordariomycetes,100,Hypocreales,100,Bionectriaceae,99,Bionectria,99,Bionectria epichloe,99,806
ASV808,ASV808,+,Fungi,100,Ascomycota,84,,23,,13,,13,,11,,5,808
ASV811,ASV811,+,Fungi,100,Ascomycota,100,Dothideomycetes,100,Pleosporales,100,Pleosporaceae,100,Cochliobolus,100,,67,811
ASV817,ASV817,+,Fungi,100,Ascomycota,98,Sordariomycetes,87,,16,,16,,16,,9,817
ASV819,ASV819,+,Fungi,100,Basidiomycota,100,Tremellomycetes,99,Tremellales,99,Tremellaceae,99,Cryptococcus,99,,62,819
ASV820,ASV820,+,Fungi,100,Basidiomycota,100,Agaricomycetes,100,Agaricales,100,Strophariaceae,94,Psilocybe,94,Psilocybe montana,86,820
ASV823,ASV823,+,Fungi,100,Ascomycota,91,,55,,46,,46,,32,,24,823
ASV825,ASV825,+,Fungi,100,Ascomycota,100,Taphrinomycetes,100,Taphrinales,100,Taphrinaceae,100,,66,,63,825
ASV826,ASV826,+,Fungi,100,Ascomycota,97,Taphrinomycetes,95,Taphrinales,95,Taphrinaceae,95,Taphrina,75,,48,826
ASV827,ASV827,+,Fungi,100,Basidiomycota,100,Microbotryomycetes,100,Leucosporidiales,100,Leucosporidiaceae,100,Leucosporidiella,72,,58,827
ASV828,ASV828,+,Fungi,100,Ascomycota,96,Pezizomycotina_Incertae sedis,96,Pezizomycotina_Incertae sedis,96,Pezizomycotina_Incertae sedis,96,Torula,96,Torula caligans,96,828
ASV831,ASV831,+,Fungi,100,Basidiomycota,100,Tremellomycetes,100,Tremellales,100,Tremellales_Incertae sedis,100,Dioszegia,100,,36,831
ASV834,ASV834,+,Fungi,100,Ascomycota,99,,58,,58,,58,,57,,43,834
ASV839,ASV839,+,Fungi,100,Ascomycota,89,,44,,44,,44,,44,,18,839
ASV840,ASV840,+,Fungi,100,Ascomycota,95,Dothideomycetes,87,Pleosporales,86,Lophiostomataceae,73,Massarina,73,Massarina igniaria,71,840
ASV848,ASV848,+,Fungi,100,Basidiomycota,100,Microbotryomycetes,100,Sporidiobolales,100,Sporidiobolales_Incertae sedis,100,Sporobolomyces,100,Sporobolomyces gracilis,99,848
ASV854,ASV854,+,Fungi,100,Basidiomycota,73,,19,,19,,19,,19,,10,854
ASV855,ASV855,+,Fungi,100,Ascomycota,100,Dothideomycetes,100,Dothideomycetes_Incertae sedis,100,Dothideomycetes_Incertae sedis,100,Peltaster,100,Peltaster fructicola,100,855
ASV870,ASV870,+,Fungi,100,Ascomycota,92,Dothideomycetes,91,Pleosporales,89,,40,,40,,39,870
ASV873,ASV873,+,Fungi,100,Ascomycota,88,,63,,57,,33,,29,,29,873
ASV874,ASV874,+,Fungi,100,Ascomycota,82,,60,,56,,45,,45,,45,874
ASV878,ASV878,+,Fungi,100,Basidiomycota,97,Tremellomycetes,97,Tremellales,97,Tremellaceae,97,Cryptococcus,97,Cryptococcus paraflavus,97,878
ASV880,ASV880,+,Fungi,100,Basidiomycota,100,Ustilaginomycetes,100,Ustilaginales,100,Ustilaginaceae,100,Pseudozyma,76,Pseudozyma churashimaensis,76,880
ASV882,ASV882,+,Fungi,100,Basidiomycota,100,Agaricomycetes,100,Russulales,100,Stereaceae,100,Stereum,100,Stereum hirsutum,77,882
ASV883,ASV883,+,Fungi,100,Ascomycota,100,Sordariomycetes,92,,42,,42,,22,,22,883
ASV884,ASV884,+,Fungi,100,Basidiomycota,96,Tremellomycetes,93,Tremellales,93,Tremellales_Incertae sedis,93,Bullera,92,Bullera variabilis,92,884
ASV885,ASV885,+,Fungi,100,,33,,13,,13,,9,,9,,9,885
ASV889,ASV889,+,Fungi,100,Basidiomycota,90,,68,,67,,62,,62,,34,889
ASV897,ASV897,+,Fungi,100,Ascomycota,100,Dothideomycetes,100,Pleosporales,100,Leptosphaeriaceae,100,Paraphoma,100,Paraphoma chrysanthemicola,100,897
ASV898,ASV898,+,Fungi,100,Basidiomycota,100,Microbotryomycetes,100,Sporidiobolales,100,Sporidiobolales_Incertae sedis,95,Sporobolomyces,77,,69,898
ASV904,ASV904,+,Fungi,100,Ascomycota,79,,61,,44,,31,,31,,31,904
ASV905,ASV905,+,Fungi,100,Ascomycota,98,Dothideomycetes,97,Pleosporales,85,Phaeosphaeriaceae,83,Phaeosphaeria,83,Phaeosphaeria phragmitis,81,905
ASV907,ASV907,+,Fungi,100,Basidiomycota,100,Agaricomycetes,100,Corticiales,100,Corticiaceae,100,Waitea,100,Rhizoctonia zeae,100,907
ASV911,ASV911,+,Fungi,100,Ascomycota,99,Dothideomycetes,99,Pleosporales,99,Phaeosphaeriaceae,97,Phaeosphaeria,92,,67,911
ASV912,ASV912,+,Fungi,100,Ascomycota,100,Sordariomycetes,100,Hypocreales,100,Hypocreales_Incertae sedis,96,Myrothecium,95,Myrothecium roridum,80,912
ASV916,ASV916,+,Fungi,100,Ascomycota,100,Sordariomycetes,100,Sordariomycetidae_Incertae sedis,94,Apiosporaceae,94,Arthrinium,94,Arthrinium phaeospermum,91,916
ASV924,ASV924,+,Fungi,100,,5,,5,,5,,5,,5,,4,924
ASV927,ASV927,+,Fungi,100,Ascomycota,99,,59,,59,,59,,57,,43,927
ASV930,ASV930,+,Fungi,100,Ascomycota,99,Dothideomycetes,99,Pleosporales,99,Lophiostomataceae,99,Lophiostoma,99,,62,930
ASV931,ASV931,+,Fungi,100,Ascomycota,100,Dothideomycetes,100,Dothideales,100,Dothioraceae,100,Hormonema,100,Hormonema prunorum,100,931
ASV934,ASV934,+,Fungi,100,Ascomycota,100,Dothideomycetes,100,Capnodiales,100,,39,,29,,29,934
ASV936,ASV936,+,Fungi,100,Ascomycota,99,Dothideomycetes,96,Pleosporales,95,,55,,55,,55,936
ASV937,ASV937,+,Fungi,100,Basidiomycota,100,Tremellomycetes,100,Tremellales,100,Tremellaceae,100,Cryptococcus,100,Cryptococcus dimennae,100,937
ASV940,ASV940,+,Fungi,100,Basidiomycota,100,Agaricomycetes,100,Russulales,100,Peniophoraceae,100,Peniophora,95,,47,940
ASV942,ASV942,+,Fungi,100,Ascomycota,100,Sordariomycetes,94,,57,,56,,56,,41,942
ASV946,ASV946,+,Fungi,100,Ascomycota,94,Dothideomycetes,90,Pleosporales,88,Lophiostomataceae,83,Tetraploa,82,Tetraploa aristata,82,946
ASV948,ASV948,+,Fungi,100,Ascomycota,98,Dothideomycetes,97,Pleosporales,86,Phaeosphaeriaceae,84,Phaeosphaeria,84,Phaeosphaeria phragmitis,82,948
ASV950,ASV950,+,Fungi,100,Ascomycota,73,,25,,24,,23,,23,,22,950
ASV951,ASV951,+,Fungi,100,Basidiomycota,100,Agaricomycetes,100,Agaricales,100,Schizophyllaceae,100,Schizophyllum,100,Schizophyllum commune,100,951
ASV954,ASV954,+,Fungi,100,Basidiomycota,100,Agaricomycetes,100,Agaricales,99,,57,,46,,42,954
ASV955,ASV955,+,Fungi,100,Ascomycota,100,Dothideomycetes,100,Pleosporales,100,Pleosporaceae,100,Pyrenophora,100,Drechslera biseptata,100,955
ASV961,ASV961,+,Fungi,100,Ascomycota,100,Sordariomycetes,100,Hypocreales,99,Hypocreales_Incertae sedis,98,Acremonium,78,Acremonium implicatum,74,961
ASV964,ASV964,+,Fungi,100,Ascomycota,92,Dothideomycetes,74,,41,,41,,41,,41,964
ASV966,ASV966,+,Fungi,100,Ascomycota,100,Dothideomycetes,100,Capnodiales,100,Mycosphaerellaceae,99,Mycosphaerella,99,,54,966
ASV977,ASV977,+,Fungi,100,Ascomycota,100,Sordariomycetes,100,Xylariales,100,Hyponectriaceae,99,Microdochium,98,Microdochium bolleyi,98,977
ASV981,ASV981,+,Fungi,100,Ascomycota,96,,60,,56,,13,,12,,12,981
ASV982,ASV982,+,Fungi,100,Ascomycota,86,,68,,47,,47,,47,,47,982
ASV988,ASV988,+,Fungi,100,Ascomycota,100,Sordariomycetes,83,,33,,32,,32,,18,988
