"","plot","troph","sum"
"205",149,na,541
"206",149,Pathotroph,201
"207",149,Saprotroph,521
"208",149,Symbiotroph,122
"209",15,na,1424
"210",15,Pathotroph,29
"211",15,Saprotroph,872
"212",15,Symbiotroph,4
"213",150,na,180
"214",150,Pathotroph,100
"215",150,Saprotroph,323
"216",150,Symbiotroph,60
"217",151,na,63
"218",151,Pathotroph,28
"219",151,Saprotroph,84
"220",151,Symbiotroph,8
"221",152,na,133
"222",152,Pathotroph,61
"223",152,Saprotroph,265
"224",152,Symbiotroph,64
"225",153,na,197
"226",153,Pathotroph,270
"227",153,Saprotroph,257
"228",153,Symbiotroph,153
"229",154,na,163
"230",154,Pathotroph,103
"231",154,Saprotroph,159
"232",154,Symbiotroph,29
"233",155,na,160
"234",155,Pathotroph,138
"235",155,Saprotroph,150
"236",155,Symbiotroph,65
"237",156,na,294
"238",156,Pathotroph,177
"239",156,Saprotroph,354
"240",156,Symbiotroph,69
"241",16,na,1075
"242",16,Pathotroph,5
"243",16,Saprotroph,1117
"244",16,Symbiotroph,0
"245",169,na,406
"246",169,Pathotroph,38
"247",169,Saprotroph,317
"248",169,Symbiotroph,76
"249",17,na,1712
"250",17,Pathotroph,9
"251",17,Saprotroph,1288
"252",17,Symbiotroph,0
"253",170,na,342
"254",170,Pathotroph,22
"255",170,Saprotroph,123
"256",170,Symbiotroph,33
"257",171,na,407
"258",171,Pathotroph,89
"259",171,Saprotroph,368
"260",171,Symbiotroph,93
"261",172,na,1008
"262",172,Pathotroph,118
"263",172,Saprotroph,601
"264",172,Symbiotroph,84
"265",173,na,260
"266",173,Pathotroph,48
"267",173,Saprotroph,243
"268",173,Symbiotroph,86
"269",174,na,583
"270",174,Pathotroph,102
"271",174,Saprotroph,411
"272",174,Symbiotroph,64
"273",175,na,658
"274",175,Pathotroph,218
"275",175,Saprotroph,377
"276",175,Symbiotroph,125
"277",176,na,726
"278",176,Pathotroph,19
"279",176,Saprotroph,343
"280",176,Symbiotroph,45
"281",177,na,1023
"282",177,Pathotroph,65
"283",177,Saprotroph,305
"284",177,Symbiotroph,117
"285",178,na,435
"286",178,Pathotroph,51
"287",178,Saprotroph,161
"288",178,Symbiotroph,107
"289",179,na,583
"290",179,Pathotroph,29
"291",179,Saprotroph,560
"292",179,Symbiotroph,55
"293",18,na,230
"294",18,Pathotroph,5
"295",18,Saprotroph,584
"296",18,Symbiotroph,4
"297",180,na,831
"298",180,Pathotroph,45
"299",180,Saprotroph,415
"300",180,Symbiotroph,108
"301",181,na,633
"302",181,Pathotroph,3426
"303",181,Saprotroph,3229
"304",181,Symbiotroph,2
"305",182,na,1179
"306",182,Pathotroph,4919
"307",182,Saprotroph,2940
"308",182,Symbiotroph,10
"309",183,na,1155
"310",183,Pathotroph,4223
"311",183,Saprotroph,6355
"312",183,Symbiotroph,15
"313",184,na,542
"314",184,Pathotroph,4417
"315",184,Saprotroph,5395
"316",184,Symbiotroph,3
"317",185,na,1019
"318",185,Pathotroph,5098
"319",185,Saprotroph,3493
"320",185,Symbiotroph,13
"321",186,na,928
"322",186,Pathotroph,3200
"323",186,Saprotroph,2938
"324",186,Symbiotroph,7
"325",187,na,858
"326",187,Pathotroph,3415
"327",187,Saprotroph,2819
"328",187,Symbiotroph,8
"329",188,na,800
"330",188,Pathotroph,3431
