,unique,Perc_crop_1km,Perc_veg_1km,Perc_nonveg_1km,Perc_ocean_1km
123,148,46.7968,50.2181,3.0734,-0.088251201
124,149,46.7388,50.1891,3.1024,-0.030262643
125,150,46.2749,50.798,3.0444,-0.11724548
126,151,46.1009,51.0589,2.9864,-0.146239759
127,152,46.0429,51.1749,2.9864,-0.204228317
128,153,43.6944,53.5234,2.9284,-0.146239759
129,154,45.492,51.7838,2.9864,-0.262216875
130,155,45.463,51.6678,2.9574,-0.088251201
131,156,44.6512,52.2767,2.9284,0.143703032
132,169,54.2483,36.8517,8.9882,-0.088251201
133,170,54.2773,36.7647,8.9882,-0.030262643
134,171,54.3353,36.7647,8.9882,-0.088251201
135,172,53.7264,37.1997,8.9592,0.114708753
136,173,54.5382,36.4748,9.1622,-0.175234038
137,174,53.9873,36.9967,9.0752,-0.059256922
138,175,53.8134,37.1127,9.0172,0.056720195
139,176,53.9294,36.8517,9.1622,0.056720195
140,177,54.0743,36.8807,9.1622,-0.11724548
141,178,53.8424,36.7937,9.1622,0.20169159
142,179,53.9584,36.9967,9.1332,-0.088251201
143,180,53.9873,36.7647,9.1622,0.085714474
144,181,32.0097,45.811,22.2676,-0.088251201
145,182,32.0967,45.8689,22.2096,-0.175234038
146,183,32.1547,45.782,22.1226,-0.059256922
147,184,32.1547,45.8979,22.1516,-0.204228317
148,185,32.2416,45.724,22.2386,-0.204228317
149,186,32.2706,45.695,22.0936,-0.059256922
150,187,32.2706,45.637,22.1806,-0.088251201
151,188,32.5316,45.579,21.7457,0.143703032
152,189,32.6186,45.637,21.6877,0.056720195
153,190,32.5606,45.637,21.6007,0.20169159
154,191,32.6766,45.608,21.5717,0.143703032
155,192,32.8215,45.608,21.5427,0.027725915
156,205,12.4096,29.3422,58.3655,-0.11724548
157,206,12.3806,29.2842,58.5105,-0.175234038
158,207,12.3806,29.1972,58.5394,-0.11724548
159,208,12.3806,29.1393,58.6264,-0.146239759
160,209,12.6705,29.3712,58.2495,-0.291211154
161,210,12.6415,29.2842,58.2495,-0.175234038
162,211,12.6125,29.2552,58.1915,-0.059256922
163,212,12.5835,29.2552,58.2785,-0.11724548
164,213,12.8155,29.4002,57.6986,0.085714474
165,214,12.7865,29.3712,57.6696,0.172697311
166,215,12.7865,29.2552,57.8436,0.114708753
167,216,12.7865,29.2552,57.8146,0.143703032
168,217,51.4069,41.5778,7.1326,-0.11724548
169,218,51.3199,41.6068,7.3356,-0.262216875
170,219,51.2329,41.3748,7.2486,0.143703032
171,220,51.2039,41.6068,7.1616,0.027725915
172,221,51.1169,41.5198,7.2776,0.085714474
173,222,51.1749,41.4328,7.3066,0.085714474
174,223,51.0299,41.7228,7.3356,-0.088251201
175,224,50.9719,41.6938,7.3356,-0.001268364
176,225,51.0009,41.4908,7.3066,0.20169159
177,226,51.1459,41.8967,7.1906,-0.233222596
178,227,51.0879,41.7228,7.2196,-0.030262643
179,228,50.9429,41.8098,7.3066,-0.059256922
180,229,47.1737,48.1885,4.871,-0.233222596
181,230,47.2317,47.7536,4.9,0.114708753
182,231,47.2027,47.8985,4.8131,0.085714474
183,232,47.1447,47.9275,4.842,0.085714474
184,233,47.0577,48.4204,4.6971,-0.175234038
185,234,47.1447,48.2175,4.6971,-0.059256922
186,235,47.1737,48.0145,4.6391,0.172697311
187,236,47.2027,48.0145,4.6391,0.143703032
188,237,47.1737,47.9855,4.6681,0.172697311
189,238,47.4056,48.0435,4.6971,-0.146239759
190,239,47.3477,48.1015,4.6681,-0.11724548
191,240,47.3767,47.7536,4.7261,0.143703032
