"","id","plot_mean","plot_sd","plot_reps","plot_se"
"61",61,59.5362837645186,3.99342843293024,11,1.20406397628787
"62",62,56.5453624291608,3.5209582027519,11,1.06160884191383
"63",63,52.692205872152,3.12144967566589,11,0.941152488741846
"64",64,55.8224965256016,3.61931890991387,11,1.09126571098386
"65",65,56.253241888871,5.27564642044952,11,1.5906672457466
"66",66,50.7656284793158,4.45842427275425,11,1.34426549717627
"67",67,49.3744375077227,4.18248434851688,11,1.26106647959678
"68",68,52.9682848117204,4.45474495380452,11,1.34315614077261
"69",69,55.1284060102695,5.17892496979021,11,1.5615046311088
"70",70,56.2301075054288,4.37465282144692,11,1.31900745425537
"71",71,54.1745439580792,4.26586595185542,11,1.28620697893243
"72",72,58.501068622242,3.38591421812816,11,1.02089154853279
"85",85,56.2844168111486,4.66433033300636,10,1.47499076117118
"86",86,51.8231889139707,5.20250511620656,10,1.64517657058917
"88",88,56.0380585414657,4.37938496475883,10,1.38488312393341
"89",89,55.1597191362104,5.08910317185951,10,1.60931572706634
"90",90,54.4879028900512,4.81513188804307,10,1.5226784000323
"91",91,53.0061976390733,2.80680502830802,10,0.887589683746671
"92",92,58.8154670832947,3.57686053461994,10,1.13110261621666
"93",93,59.0945583778819,3.81227743046459,10,1.20554797527223
"94",94,52.9578710847651,2.45691250536424,10,0.776943952870165
"95",95,54.334136800434,3.03611382651774,10,0.960103492732539
"96",96,55.6920059184947,2.61935612679107,10,0.828313136377659
"100",100,57.4284382900965,3.23916813542974,11,0.97664593982687
"101",101,60.2055019455031,3.23142712151307,11,0.974311936312458
"102",102,58.8279031051568,2.89672565676649,11,0.873395647644571
"103",103,57.1218950879784,2.13579673040276,11,0.643966943928527
"104",104,59.880075167143,3.91249939631794,11,1.17966295364351
"105",105,59.1689730198438,3.95315090663815,11,1.19191984517927
"106",106,57.8304441586502,3.27682255151858,11,0.987999173451106
"107",107,57.6181457306251,2.94706616733443,11,0.888573882672642
"108",108,61.5078289453763,2.00152886698639,11,0.603483659896274
"97",97,58.8397506316581,3.33158791365066,11,1.00451155142384
"98",98,57.8570845027263,2.84275754469928,11,0.857123649610862
"109",109,59.9140528357819,4.95659586351131,11,1.49446988333588
"110",110,56.3805978048141,6.34038174449341,11,1.91169702491851
"111",111,63.2179406086088,2.6740048156005,11,0.806242787359122
"112",112,57.035021732187,4.26537967581016,11,1.28606036118819
"113",113,57.6185044648787,4.38633376159304,11,1.32252939022476
"114",114,54.662407174592,7.0605957497449,11,2.12884971802563
