"","nestSite","unique.plot","centroidDist"
"217",SWCH-SHFA,217,15.4228226067683
"218",SWCH-SHFA,218,3.44709529400696
"219",SWCH-SHFA,219,12.4426071257571
"220",SWCH-SHFA,220,6.95915926357177
"221",SWCH-SHFA,221,2.47752598331745
"222",SWCH-SHFA,222,2.98217635067516
"223",SWCH-SHFA,223,1.38455300960826
"224",SWCH-SHFA,224,2.33447953617472
"225",SWCH-SHFA,225,3.85264903981563
"226",SWCH-SHFA,226,7.00654989824598
"227",SWCH-SHFA,227,3.01956434006814
"228",SWCH-SHFA,228,7.33562723404515
"229",SWCH-WBFL,229,5.69553006735389
"230",SWCH-WBFL,230,2.3043630328939
"231",SWCH-WBFL,231,12.3541970543675
"232",SWCH-WBFL,232,3.42501816532596
"233",SWCH-WBFL,233,9.85068774246181
"234",SWCH-WBFL,234,2.14042150151534
"235",SWCH-WBFL,235,1.94700737331263
"236",SWCH-WBFL,236,0.432635109456086
"237",SWCH-WBFL,237,1.63016989763316
"238",SWCH-WBFL,238,10.8900319024247
"239",SWCH-WBFL,239,8.90283331064831
"240",SWCH-WBFL,240,12.5975167043234
"13",WHT-LENVT,13,1.84631027634777
"14",WHT-LENVT,14,1.15243927661788
"15",WHT-LENVT,15,4.56746254355757
"16",WHT-LENVT,16,1.86431530832455
"17",WHT-LENVT,17,3.94138332196581
"18",WHT-LENVT,18,1.14158664111859
"19",WHT-LENVT,19,2.12179327683576
"20",WHT-LENVT,20,3.07504118206796
"21",WHT-LENVT,21,1.06383575045948
"22",WHT-LENVT,22,2.97686996813232
"23",WHT-LENVT,23,1.73926679798845
"24",WHT-LENVT,24,4.36493087129539
"25",WHT-PASVT,25,3.21760408023554
"26",WHT-PASVT,26,3.23080861080035
"27",WHT-PASVT,27,1.1312774568485
"28",WHT-PASVT,28,1.27953121721335
"29",WHT-PASVT,29,3.54484928816207
"30",WHT-PASVT,30,2.08316293799934
"31",WHT-PASVT,31,0.321000960619569
"32",WHT-PASVT,32,1.84562704942064
"33",WHT-PASVT,33,1.1695406907686
"34",WHT-PASVT,34,1.93057533835911
"35",WHT-PASVT,35,2.34631058876986
"36",WHT-PASVT,36,3.58180751903464
"37",WHT-ROWVT,37,4.45357910426179
"38",WHT-ROWVT,38,1.27453157216942
"39",WHT-ROWVT,39,1.59531140080802
"40",WHT-ROWVT,40,0.781273099330128
"41",WHT-ROWVT,41,3.80884504733186
"42",WHT-ROWVT,42,2.96604636176123
"43",WHT-ROWVT,43,4.37814224833791
"44",WHT-ROWVT,44,3.12982426181419
"45",WHT-ROWVT,45,2.90008208562879
"46",WHT-ROWVT,46,5.62183776285135
"47",WHT-ROWVT,47,4.49051932023663
"48",WHT-ROWVT,48,4.36281501529423
"49",WHT-UNIVT,49,3.80674284249967
"50",WHT-UNIVT,50,0.744653087675378
"51",WHT-UNIVT,51,5.99981750985704
"52",WHT-UNIVT,52,1.98309718183456
"53",WHT-UNIVT,53,2.73890534616459
"54",WHT-UNIVT,54,0.79470595259408
"55",WHT-UNIVT,55,5.04104665117567
"56",WHT-UNIVT,56,2.4078537091652
"57",WHT-UNIVT,57,2.1905488198266
"58",WHT-UNIVT,58,2.80585445139208
"59",WHT-UNIVT,59,3.35581045570397
"60",WHT-UNIVT,60,2.78858929491352
